p,sg,sg_over_pm1,k,m,linf,linf_ratio,l2,c_linf,c_l2
7,6,1.0000,18,9,1.431715e-01,1.0022,3.864067e-07,0.9989,6.5884
7,6,1.0000,20,10,1.436056e-01,1.0052,6.780014e-07,0.9973,6.2995
7,6,1.0000,22,11,1.430925e-01,1.0016,1.625772e-07,0.9992,7.0333
7,6,1.0000,24,12,1.430213e-01,1.0011,4.249295e-08,0.9994,7.7229
7,6,1.0000,26,13,1.429004e-01,1.0003,7.235186e-09,0.9998,8.6327
7,6,1.0000,28,14,1.428663e-01,1.0001,5.460810e-10,1.0000,9.9606
7,6,1.0000,30,15,1.428726e-01,1.0001,3.028185e-10,0.9999,10.2636
7,6,1.0000,32,16,1.428586e-01,1.0000,2.249273e-11,1.0000,11.5997
7,6,1.0000,34,17,1.428600e-01,1.0000,1.027875e-11,1.0000,12.0021
7,6,1.0000,36,18,1.428575e-01,1.0000,8.172352e-13,1.0000,13.3033
7,6,1.0000,38,19,1.428573e-01,1.0000,7.674417e-14,1.0000,14.5189
7,6,1.0000,40,20,1.428576e-01,1.0000,2.066125e-13,1.0000,14.0099
7,6,1.0000,42,21,1.428573e-01,1.0000,5.032086e-14,1.0000,14.7358
7,6,1.0000,44,22,1.428573e-01,1.0000,1.726397e-14,1.0000,15.2855
7,6,1.0000,46,23,1.428572e-01,1.0000,2.969847e-15,1.0000,16.1900
7,6,1.0000,48,24,1.428572e-01,1.0000,3.053113e-16,1.0000,17.3591
7,6,1.0000,50,25,1.428572e-01,1.0000,1.387779e-16,1.0000,17.7643
31,30,1.0000,8,4,8.571429e-02,2.6571,7.741935e-03,0.7154,0.4156
31,30,1.0000,10,5,4.761905e-02,1.4762,2.290940e-03,0.8866,0.7702
31,30,1.0000,12,6,4.329004e-02,1.3420,5.913011e-04,0.9143,1.1646
31,30,1.0000,14,7,3.583916e-02,1.1110,9.562977e-05,0.9693,1.6951
31,30,1.0000,16,8,3.690754e-02,1.1441,3.204717e-05,0.9608,2.0135
31,30,1.0000,18,9,3.350473e-02,1.0386,7.276671e-06,0.9890,2.4452
31,30,1.0000,20,10,3.259434e-02,1.0104,1.774011e-06,0.9970,2.8562
31,30,1.0000,22,11,3.260839e-02,1.0109,4.543004e-07,0.9969,3.2529
31,30,1.0000,24,12,3.240161e-02,1.0044,8.627879e-08,0.9987,3.7367
31,30,1.0000,26,13,3.232592e-02,1.0021,2.431601e-08,0.9994,4.1055
31,30,1.0000,28,14,3.228205e-02,1.0007,6.602019e-09,0.9998,4.4851
31,30,1.0000,30,15,3.227413e-02,1.0005,1.930802e-09,0.9999,4.8432
31,30,1.0000,32,16,3.226673e-02,1.0003,5.666936e-10,0.9999,5.2001
31,30,1.0000,34,17,3.226261e-02,1.0001,1.731471e-10,1.0000,5.5454
31,30,1.0000,36,18,3.225996e-02,1.0001,5.971745e-11,1.0000,5.8554
31,30,1.0000,38,19,3.225915e-02,1.0000,2.116653e-11,1.0000,6.1575
31,30,1.0000,40,20,3.225844e-02,1.0000,5.331707e-12,1.0000,6.5590
31,30,1.0000,42,21,3.225842e-02,1.0000,1.361772e-12,1.0000,6.9564
31,30,1.0000,44,22,3.225824e-02,1.0000,2.924050e-13,1.0000,7.4044
31,30,1.0000,46,23,3.225816e-02,1.0000,8.841539e-14,1.0000,7.7527
31,30,1.0000,48,24,3.225812e-02,1.0000,2.246120e-14,1.0000,8.1517
31,30,1.0000,50,25,3.225809e-02,1.0000,4.315992e-15,1.0000,8.6321
73,36,0.5000,8,4,7.142857e-02,5.2143,1.119933e-02,0.6151,0.0470
73,36,0.5000,10,5,3.968254e-02,2.8968,4.032536e-03,0.7521,0.2850
73,36,0.5000,12,6,2.489177e-02,1.8171,1.326388e-03,0.8608,0.5442
73,36,0.5000,14,7,2.331002e-02,1.7016,3.987721e-04,0.8761,0.8243
73,36,0.5000,16,8,2.059052e-02,1.5031,1.012176e-04,0.9050,1.1439
73,36,0.5000,18,9,1.729741e-02,1.2627,3.951173e-05,0.9456,1.3631
73,36,0.5000,20,10,1.494403e-02,1.0909,1.237583e-05,0.9797,1.6337
73,36,0.5000,22,11,1.431322e-02,1.0449,3.325133e-06,0.9898,1.9400
73,36,0.5000,24,12,1.429281e-02,1.0434,1.143005e-06,0.9901,2.1889
73,36,0.5000,26,13,1.392785e-02,1.0167,3.879792e-07,0.9961,2.4407
73,36,0.5000,28,14,1.383205e-02,1.0097,1.110439e-07,0.9977,2.7323
73,36,0.5000,30,15,1.381438e-02,1.0085,3.457107e-08,0.9980,3.0043
73,36,0.5000,32,16,1.377997e-02,1.0059,1.335336e-08,0.9986,3.2260
73,36,0.5000,34,17,1.372937e-02,1.0022,4.517308e-09,0.9995,3.4786
73,36,0.5000,36,18,1.371514e-02,1.0012,1.270443e-09,0.9997,3.7743
73,36,0.5000,38,19,1.370473e-02,1.0004,3.806717e-10,0.9999,4.0552
73,36,0.5000,40,20,1.370401e-02,1.0004,1.373542e-10,0.9999,4.2928
73,36,0.5000,42,21,1.370069e-02,1.0002,3.640409e-11,1.0000,4.6023
73,36,0.5000,44,22,1.370087e-02,1.0002,1.145214e-11,1.0000,4.8718
73,36,0.5000,46,23,1.369956e-02,1.0001,4.245201e-12,1.0000,5.1031
73,36,0.5000,48,24,1.369937e-02,1.0001,1.533456e-12,1.0000,5.3405
73,36,0.5000,50,25,1.369891e-02,1.0000,4.650360e-13,1.0000,5.6186
