k,nu,u,c_over_c1,transport_frac,branch_frac,slack,argmin_lift,argmin_offset
15,4,23,0.24127691921327687,0.005317856983971951,0.9946822997283744,1.567123462109521e-07,0,46
15,4,25,0.4888739270210872,0.0032509041127937485,0.9967493280803651,2.3219315870015578e-07,2,212
15,4,26,0.5083422304169579,0.0029671523837910625,0.9970329969333798,1.4931717084998297e-07,2,214
15,4,28,1.0430953223962656,0.0015037003862730582,0.9984965032943154,2.0368058839537184e-07,0,56
15,4,29,0.3165371692121018,0.004557248973362853,0.9954429449239159,1.9389727867746842e-07,0,58
15,4,31,0.7775163089942109,0.002179009040141581,0.9978211860340276,1.9507416904041008e-07,0,62
15,4,32,0.3067504191829669,0.004372883692613751,0.9956273243096481,2.0800226185890835e-07,1,145
15,4,34,0.487926260829022,0.0031362562291080546,0.9968639457992737,2.020283818016111e-07,1,149
15,4,35,0.3260584441075839,0.004789178410909708,0.9952110248024203,2.0321332994122088e-07,2,232
15,4,37,1.3999241040511505,0.0013785700571388511,0.9986216298501766,1.9990731536800865e-07,1,155
15,4,38,0.4226213482525219,0.0038333287710741104,0.9961668003636747,1.291347488940886e-07,2,238
15,4,40,0.7431659901946803,0.002551564035075374,0.997448641442227,2.0547730250619622e-07,1,161
15,4,41,0.25863941985019423,0.004934492262317866,0.9950656292966816,1.2155899931087788e-07,1,163
15,4,43,0.4392074137465979,0.003353811797433631,0.9966464151458019,2.2694323553729134e-07,0,86
15,4,44,0.43786245539952584,0.0033031475320803687,0.9966970647967617,2.123288420641245e-07,2,7
15,4,46,0.6729853316605213,0.002373261954538856,0.9976269318155878,1.9377012661081494e-07,0,92
15,4,47,0.3713381963976868,0.003923635940099619,0.9960765248829146,1.6082301423914203e-07,0,94
15,4,49,0.5170355376002704,0.0029453249671894366,0.9970548813836453,2.063508346417109e-07,2,17
15,4,50,0.24363194816185554,0.00532026993388176,0.9946799103019255,1.8023580716786114e-07,2,19
15,4,52,0.5409190054336045,0.0027868385308647916,0.9972133598150212,1.9834588615985638e-07,2,23
15,4,53,0.4231973532181104,0.0033251467419679135,0.9966750319045711,1.786465391173664e-07,2,25
15,4,55,0.6878679119733875,0.0022556657179544554,0.9977445265274243,1.9224537872730707e-07,1,191
15,4,56,0.31774103029465006,0.004468467219697466,0.9955317257027827,1.9292247999125323e-07,2,31
15,4,58,0.7620641318473657,0.0023299312985986358,0.9976702654375087,1.967361074051155e-07,2,35
15,4,59,0.28391465382320685,0.004758330026687355,0.9952418566790443,1.8670573154189185e-07,2,37
15,4,61,0.6040187298545837,0.00246078922671727,0.9975393840241579,1.7325087520170257e-07,1,203
15,4,62,0.3172608247560175,0.004590339910305542,0.9954098786160743,2.1852637988040158e-07,0,124
15,4,64,1.0433789103551219,0.0017421375792564516,0.9982580536311109,1.9121036731739594e-07,0,128
15,4,65,0.37134588757237974,0.00411914523385382,0.995881038460242,1.8369409571228346e-07,1,211
15,4,67,0.6720298962957799,0.0025766683975725424,0.9974234824638714,1.5086144400378032e-07,1,215
15,4,68,0.24868033982818777,0.005123142943751311,0.994877033441779,1.7638553018173297e-07,1,217
15,4,70,0.5079676071007719,0.002839015303366321,0.9971611964957455,2.117991118044671e-07,0,140
15,4,71,0.3183080264895856,0.004290674396960199,0.9957095339241204,2.0832108060808707e-07,0,142
15,4,73,0.7693125650033296,0.0020713227296731357,0.9979288158603371,1.38590010356765e-07,1,227
15,4,74,0.30669075493415565,0.004993743982916882,0.9950064680066742,2.119895912144898e-07,1,229
15,4,76,0.482037217622517,0.0031347918242718023,0.9968653928391104,1.846633821411814e-07,1,233
15,4,77,0.23674538933182568,0.005548578139376294,0.9944516444475016,2.2258687781828712e-07,1,235
15,4,79,0.5076301949933987,0.0031250305944405315,0.9968751326707626,1.6326520313469928e-07,1,239
15,4,80,0.4060326423602945,0.003434192107005934,0.9965660205299944,2.1263700022977616e-07,2,79
16,1,0,1.0,0.0009902386813813316,0.9990099931537767,2.31835157959992e-07,1,3
16,1,1,1.303183988777732,0.0007766096174977535,0.9992235648111375,1.7442863531336172e-07,0,2
16,1,2,0.696590835342634,0.0014426477006544436,0.9985575037736867,1.514743410702124e-07,1,7
16,2,1,0.6384260062691771,0.001492031499857876,0.9985081726210441,2.0412090195875976e-07,0,2
16,2,2,0.9079800928434906,0.0011172467092625306,0.9988829417716533,1.884809157637335e-07,0,4
16,2,4,0.48501900889655203,0.0019683908420209677,0.9980318224775846,2.133196055353892e-07,2,26
16,2,5,0.9918130322204898,0.0010616536018714586,0.9989385164637153,1.700655869463219e-07,2,1
16,2,7,0.5844566244460468,0.0016475385304031108,0.998352695108904,2.3363930723441229e-07,0,14
16,2,8,1.388769537437277,0.0006995812311982254,0.999300612328523,1.9355972113999087e-07,2,7
16,3,1,1.0894768581440228,0.0011083796829581573,0.9988918093477173,1.8903067533493356e-07,1,29
16,3,2,0.444498313369326,0.002318624695805943,0.997681535974214,1.6067001995523356e-07,0,4
16,3,4,0.6324101729073702,0.0020163961073987407,0.9979837529091273,1.4901652600762816e-07,2,62
16,3,5,0.40685925918679733,0.0027692901302125345,0.9972308695624648,1.5969267730397974e-07,0,10
16,3,7,0.9858852179299642,0.0011664803682157354,0.9988336609574664,1.413256820459452e-07,2,68
16,3,8,0.4046007939305508,0.002801795010663016,0.9971983643185934,1.5932925645500973e-07,2,70
16,3,10,0.7929775845772501,0.0014119962135032969,0.9985881505345188,1.467480221784001e-07,1,47
16,3,11,0.4572999866086529,0.0023850107696539607,0.9976151203056604,1.3107531438016906e-07,2,76
16,3,13,0.6960256189395214,0.001746844862869943,0.9982533662163408,2.1107921077678782e-07,1,53
16,3,14,0.44977424769890856,0.0023196795970039257,0.9976805268588479,2.064558517478332e-07,2,1
16,3,16,1.3729715869391101,0.000800280611021454,0.9991998493130396,1.2992406106526744e-07,0,32
16,3,17,0.3593880040002077,0.002950281252430468,0.9970498416077314,1.2286016182194714e-07,1,61
