k,center,j,count,mass_frac,mean_osc,mw_mean_osc,p_osc_gt_02,mass_osc_gt_02,max_osc
17,inv4_n2,1,9565938,8.870214e-01,5.955687e-02,7.500684e-02,1.133407e-02,3.437199e-02,6.138619e-01
17,inv4_n2,2,3188646,5.788403e-02,5.554809e-02,6.640697e-02,8.620273e-03,1.507746e-03,3.858105e-01
17,inv4_n2,3,1062882,2.905435e-02,5.819765e-02,6.879511e-02,1.005756e-02,8.267635e-04,3.838676e-01
17,inv4_n2,4,354294,1.388361e-02,6.316029e-02,7.397388e-02,1.319808e-02,4.798136e-04,3.780158e-01
17,inv4_n2,5,118098,6.535012e-03,6.888045e-02,8.000555e-02,1.801047e-02,2.849679e-04,3.770633e-01
17,inv4_n2,6,39366,3.045942e-03,7.577301e-02,8.722454e-02,2.525022e-02,1.692757e-04,3.735194e-01
17,inv4_n2,7,13122,1.404758e-03,8.406154e-02,9.583705e-02,3.589392e-02,1.012620e-04,3.748660e-01
17,inv4_n2,8,4374,6.427215e-04,9.302059e-02,1.053540e-01,5.372657e-02,6.253239e-05,3.877945e-01
17,inv4_n2,9,1458,2.919804e-04,1.045342e-01,1.171797e-01,7.956104e-02,3.752810e-05,3.721720e-01
17,inv4_n2,10,486,1.316747e-04,1.170027e-01,1.300261e-01,1.316872e-01,2.441108e-05,3.591935e-01
17,inv4_n3,1,9565938,5.045495e-01,5.733443e-02,7.017983e-02,9.809179e-03,1.575599e-02,3.877945e-01
17,inv4_n3,2,3188646,4.271546e-01,6.451976e-02,8.068574e-02,1.481162e-02,2.032311e-02,6.138619e-01
17,inv4_n3,3,1062882,4.507911e-02,5.665617e-02,6.860759e-02,9.262552e-03,1.303311e-03,3.868728e-01
17,inv4_n3,4,354294,1.628941e-02,5.666773e-02,6.583332e-02,9.054627e-03,3.960120e-04,3.772400e-01
17,inv4_n3,5,118098,4.028384e-03,5.045211e-02,5.556133e-02,4.911175e-03,4.522821e-05,3.334308e-01
17,inv4_n3,6,39366,1.763280e-03,5.625999e-02,6.341642e-02,8.332063e-03,3.395206e-05,3.309153e-01
17,inv4_n3,7,13122,6.380375e-04,6.015633e-02,6.719908e-02,9.830818e-03,1.393000e-05,3.441270e-01
17,inv4_n3,8,4374,2.963119e-04,7.052661e-02,7.787264e-02,1.760402e-02,9.895661e-06,3.392201e-01
17,inv4_n3,9,1458,1.140053e-04,8.098807e-02,8.983984e-02,3.360768e-02,6.781141e-06,3.436259e-01
17,inv4_n3,10,486,5.105227e-05,9.106859e-02,1.004036e-01,5.349794e-02,4.494479e-06,3.272798e-01
18,minus1,1,28697814,5.027174e-01,5.255060e-02,6.492146e-02,7.463983e-03,1.281397e-02,3.921830e-01
18,minus1,2,9565938,2.595576e-01,5.412551e-02,6.730356e-02,8.043958e-03,7.177706e-03,3.908786e-01
18,minus1,3,3188646,1.255570e-01,5.830893e-02,7.227295e-02,1.021876e-02,4.195679e-03,3.890296e-01
18,minus1,4,1062882,5.968939e-02,6.383493e-02,7.863102e-02,1.373059e-02,2.508215e-03,3.862314e-01
18,minus1,5,354294,2.814475e-02,7.001010e-02,8.560655e-02,1.916205e-02,1.516756e-03,3.874048e-01
18,minus1,6,118098,1.312731e-02,7.744772e-02,9.395641e-02,2.731630e-02,9.314928e-04,3.875824e-01
18,minus1,7,39366,6.078849e-03,8.620939e-02,1.036489e-01,4.018696e-02,5.737252e-04,3.953430e-01
18,minus1,8,13122,2.796865e-03,9.626214e-02,1.147427e-01,6.210943e-02,3.636681e-04,4.123837e-01
18,minus1,9,4374,1.279453e-03,1.075953e-01,1.271624e-01,9.144947e-02,2.196240e-04,4.012173e-01
18,minus1,10,1458,5.809864e-04,1.200891e-01,1.413198e-01,1.460905e-01,1.395371e-04,3.967579e-01
18,inv4_n1,1,28697814,6.090444e-01,5.453172e-02,7.128526e-02,8.517687e-03,2.065619e-02,6.150221e-01
18,inv4_n1,2,9565938,1.995069e-01,5.093960e-02,6.147196e-02,6.629982e-03,4.282214e-03,3.855062e-01
18,inv4_n1,3,3188646,1.005145e-01,5.336466e-02,6.365590e-02,7.629571e-03,2.343451e-03,3.837959e-01
18,inv4_n1,4,1062882,4.824818e-02,5.774488e-02,6.829529e-02,9.884446e-03,1.351357e-03,3.794304e-01
18,inv4_n1,5,354294,2.282627e-02,6.294936e-02,7.378860e-02,1.322630e-02,7.914006e-04,3.788598e-01
