base	hi	c1	c2	c3	c4	c5	c6	c7	c8	overflow	cap	exc_log2	exc_argn
2080000001	2090000000	1048	6282	1142	0	0	0	0	0	9991528	0	121.3219	2083753965
2090000001	2100000000	2093	2184	269	0	0	0	0	0	9995454	0	121.3219	2090611863
2100000001	2110000000	1280	3673	1598	0	0	0	0	0	9993449	0	121.3219	2104052575
2110000001	2120000000	3606	2982	457	0	0	0	0	0	9992955	0	121.3219	2113177991
2120000001	2130000000	1842	1370	730	0	0	0	0	0	9996058	0	121.3219	2124549497
2130000001	2140000000	1200	6123	1023	0	0	0	0	0	9991654	0	121.3219	2133761801
2140000001	2150000000	1945	2314	222	0	0	0	0	0	9995519	0	121.3219	2143015529
2150000001	2160000000	1273	3941	1576	0	0	0	0	0	9993210	0	121.3219	2154551049
2160000001	2170000000	3109	2498	421	0	0	0	0	0	9993972	0	121.3219	2163894151
2170000001	2180000000	2476	1243	549	0	0	0	0	0	9995732	0	121.3219	2175540853
2180000001	2190000000	1110	5067	1170	0	0	0	0	0	9992653	0	121.3219	2184973905
2190000001	2200000000	1712	3527	368	0	0	0	0	0	9994393	0	121.3219	2194449353
2200000001	2210000000	1490	2872	757	0	0	0	0	0	9994881	0	121.3219	2206260821
2210000001	2220000000	1944	3022	815	0	0	0	0	0	9994219	0	121.3219	2215827333
2220000001	2230000000	3621	1986	278	0	0	0	0	0	9994115	0	121.3219	2227753909
2230000001	2240000000	1312	3072	1102	0	0	0	0	0	9994514	0	121.3219	2237413201
2240000001	2250000000	1633	4914	886	0	0	0	0	0	9992567	0	121.3219	2249456821
2250000001	2260000000	1983	1670	193	0	0	0	0	0	9996154	0	121.3219	2259210925
2260000001	2270000000	1747	3954	1382	0	0	0	0	0	9992917	0	121.3219	2269007721
2270000001	2280000000	3394	2361	360	0	0	0	0	0	9993885	0	121.3219	2271366229
2280000001	2290000000	1467	1788	1152	0	0	0	0	0	9995593	0	121.3219	2281219961
2290000001	2300000000	2080	5960	848	0	0	0	0	0	9991112	0	121.3219	2291109117
2300000001	2310000000	1505	900	147	0	0	0	0	0	9997448	0	121.3219	2301045271
2310000001	2320000000	1558	4749	1375	0	0	0	0	0	9992318	0	121.3219	2313431129
2320000001	2330000000	2731	1777	344	0	0	0	0	0	9995148	0	121.3219	2323463709
2330000001	2340000000	2339	1123	623	0	0	0	0	0	9995915	0	121.3219	2335967165
2340000001	2350000000	1645	3554	844	0	0	0	0	0	9993957	0	121.3219	2346096799
2350000001	2360000000	1760	4026	625	0	0	0	0	0	9993589	0	121.3219	2358720073
2360000001	2370000000	2036	1670	204	0	0	0	0	0	9996090	0	121.3219	2366489237
2370000001	2380000000	1717	4749	1386	0	0	0	0	0	9992148	0	121.3219	2379226585
2380000001	2390000000	2693	1960	351	0	0	0	0	0	9994996	0	121.3219	2387055541
2390000001	2400000000	1681	2139	1461	0	0	0	0	0	9994719	0	121.3219	2392030313
2400000001	2410000000	2721	4601	772	0	0	0	0	0	9991906	0	121.3219	2402404601
2410000001	2420000000	1946	1511	130	0	0	0	0	0	9996413	0	121.3219	2412819423
2420000001	2430000000	877	3902	672	0	0	0	0	0	9994549	0	121.3219	2425809119
2430000001	2440000000	1648	3317	858	0	0	0	0	0	9994177	0	121.3219	2438864025
2440000001	2450000000	3133	2333	436	0	0	0	0	0	9994098	0	121.3219	2446892767
2450000001	2460000000	1643	2350	1594	0	0	0	0	0	9994413	0	121.3219	2457490345
2460000001	2470000000	2476	4654	712	0	0	0	0	0	9992158	0	121.3219	2460062669
2470000001	2480000000	2013	867	374	0	0	0	0	0	9996746	0	121.3219	2470729421
2480000001	2490000000	1171	4993	1271	0	0	0	0	0	9992565	0	121.3219	2484027383
2490000001	2500000000	1749	2824	255	0	0	0	0	0	9995172	0	121.3219	2494797641
2500000001	2510000000	2588	2149	349	0	0	0	0	0	9994914	0	121.3219	2508227557
2510000001	2520000000	1650	2595	1697	0	0	0	0	0	9994058	0	121.3219	2519103765
2520000001	2530000000	2599	4433	668	0	0	0	0	0	9992300	0	121.3219	2527382213
2530000001	2540000000	2048	1183	484	0	0	0	0	0	9996285	0	121.3219	2538354897
2540000001	2550000000	1107	5387	1404	0	0	0	0	0	9992102	0	121.3219	2543644701
2550000001	2560000000	1646	2700	145	0	0	0	0	0	9995509	0	121.3219	2554675501
2560000001	2570000000	2407	2180	317	0	0	0	0	0	9995096	0	121.3219	2568425573
2570000001	2580000000	1644	2919	1812	0	0	0	0	0	9993625	0	121.3219	2579563081
2580000001	2590000000	2853	4149	655	0	0	0	0	0	9992343	0	121.3219	2585268759
2590000001	2600000000	2059	663	607	0	0	0	0	0	9996671	0	121.3219	2593445853
2600000001	2610000000	793	4960	525	0	0	0	0	0	9993722	0	121.3219	2604692345
2610000001	2620000000	1260	3842	872	0	0	0	0	0	9994026	0	121.3219	2613264829
2620000001	2630000000	2602	2169	316	0	0	0	0	0	9994913	0	121.3219	2627327351
2630000001	2640000000	1132	3161	1881	0	0	0	0	0	9993826	0	121.3219	2630067417
2640000001	2650000000	3586	3468	584	0	0	0	0	0	9992362	0	121.3219	2641472489
2650000001	2660000000	1759	1121	74	0	0	0	0	0	9997046	0	121.3219	2652926343
2660000001	2670000000	1031	3440	734	0	0	0	0	0	9994795	0	121.3219	2667205383
2670000001	2680000000	1431	5582	1211	0	0	0	0	0	9991776	0	121.3219	2678770877
2680000001	2690000000	1655	1377	268	0	0	0	0	0	9996700	0	121.3219	2681544145
