threshold,k,parent_depth,child_depth,parent_bin,parent_bin_mass,first_parent_depth,weights,parent_bin_weight_num,parent_bin_weight_den,parent_bin_weight_decimal,weighted_high_child_mass_num,weighted_high_child_mass_den,weighted_high_child_mass_decimal,weighted_parent_mass_num,weighted_parent_mass_den,weighted_parent_mass_decimal,ratio_num,ratio_den,ratio_decimal,rho_num,rho_den,rho_decimal,rho_minus_ratio_num,rho_minus_ratio_den,rho_minus_ratio_decimal,selection_scope,source,source_sha256,source_sha256_verified
1/5,13,6,7,4,363814933296646056,3,31/25;69/50;1;34/25,31,25,1.24,1409380232137959253,5,2.81876046428e+17,11278262932196027736,25,4.51130517288e+17,7046901160689796265,11278262932196027736,0.624821499823,68,69,0.985507246377,93561899767244647921,259400047440508637928,0.360685746554,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,13,6,7,5,331278670212745778,3,31/25;69/50;1;34/25,69,50,1.38,5420899033030044711,25,2.16835961321e+17,11429114122339729341,25,4.57164564894e+17,1806966344343348237,3809704707446576447,0.474306142629,68,69,0.985507246377,5842575754203311741,11429114122339729341,0.511201103748,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,13,6,7,6,409860308347824602,3,31/25;69/50;1;34/25,1,1,1,7585813485472855127,25,3.03432539419e+17,409860308347824602,1,4.09860308348e+17,7585813485472855127,10246507708695615050,0.740331603814,68,69,0.985507246377,173341393693674819637,707009031899997438450,0.245175642563,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,13,6,7,7,2284924850372540441,3,31/25;69/50;1;34/25,34,25,1.36,111635624790963973871,50,2.23271249582e+18,77687444912666374994,25,3.10749779651e+18,6566801458291998463,9139699401490161764,0.718492060824,68,69,0.985507246377,168390258679183106005,630639258702821161716,0.267015185552,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,13,7,8,4,335018739096182933,3,31/25;69/50;1;34/25,31,25,1.24,11194154970886676683,50,2.23883099418e+17,10385580911981670923,25,4.15423236479e+17,11194154970886676683,20771161823963341846,0.538927724205,68,69,0.985507246377,640042311038326554401,1433210165853470587374,0.446579522172,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,13,7,8,5,381248034924382381,3,31/25;69/50;1;34/25,69,50,1.38,12634326857746608677,50,2.52686537155e+17,26306114409782384289,50,5.26122288196e+17,12634326857746608677,26306114409782384289,0.480280997069,68,69,0.985507246377,4430179839037131077,8768704803260794763,0.505226249308,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,13,7,8,6,769367204803442147,3,31/25;69/50;1;34/25,1,1,1,14951405645125572112,25,5.98056225805e+17,769367204803442147,1,7.69367204803e+17,2135915092160796016,2747740017155150525,0.777335220518,68,69,0.985507246377,39468179807455310596,189594061183705386225,0.208172025859,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,13,7,8,7,1482931568494946781,3,31/25;69/50;1;34/25,34,25,1.36,69241038552638391971,50,1.38482077105e+18,50419673328828190554,25,2.01678693315e+18,69241038552638391971,100839346657656381108,0.686647036575,68,69,0.985507246377,693147970862861623115,2319304973126096765484,0.298860209802,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,13,8,9,4,476015536512076763,3,31/25;69/50;1;34/25,31,25,1.24,6254067105770377568,25,2.50162684231e+17,14756481631874379653,25,5.90259265275e+17,6254067105770377568,14756481631874379653,0.423818309932,68,69,0.985507246377,571910120669301764212,1018197232599332196057,0.561688936444,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,13,8,9,5,413418783693424514,3,31/25;69/50;1;34/25,69,50,1.38,1341332954998384356,5,2.68266591e+17,14262948037423145733,25,5.70517921497e+17,2235554924997307260,4754316012474381911,0.470215887865,68,69,0.985507246377,319546690025413552,620128175540136771,0.515291358512,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,13,8,9,6,822114185132599506,3,31/25;69/50;1;34/25,1,1,1,14945497742378150461,25,5.97819909695e+17,822114185132599506,1,8.22114185133e+17,14945497742378150461,20552854628314987650,0.727173816614,68,69,0.985507246377,122118256833775592797,472715656451244715950,0.258333429763,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
