k,parent_depth,child_depth,terminal_offset,parent_node_count,child_node_count,entropy_increment,envelope,increment_over_envelope,envelope_slack,passes_envelope,envelope_scope,logarithm,arithmetic,source_kind,source,source_sha256,source_sha256_verified,source_sha256_kind
13,10,11,2,19683,59049,0.0037495812060220858,0.011262702941894532,0.33292019023910774,0.0075131217358724465,True,post_hoc_k12_through_float_k20,natural,float64_log_on_exact_integer_masses,exact_feasible_certificate,cert_k13.json,32f22a8bfc6e7962443ce0da0fd28bdb5d2a56748e0ea832a9135a45391fc7b7,True,manifest
13,11,12,1,59049,177147,0.0022557854670947099,0.0084470272064208988,0.26705081112796741,0.0061912417393261889,True,post_hoc_k12_through_float_k20,natural,float64_log_on_exact_integer_masses,exact_feasible_certificate,cert_k13.json,32f22a8bfc6e7962443ce0da0fd28bdb5d2a56748e0ea832a9135a45391fc7b7,True,manifest
13,12,13,0,177147,531441,0.001415956038435862,0.0063352704048156745,0.22350364672035802,0.0049193143663798129,True,post_hoc_k12_through_float_k20,natural,float64_log_on_exact_integer_masses,exact_feasible_certificate,cert_k13.json,32f22a8bfc6e7962443ce0da0fd28bdb5d2a56748e0ea832a9135a45391fc7b7,True,manifest
14,1,2,12,1,3,0.13017925380344972,0.15000000000000002,0.86786169202299801,0.019820746196550304,True,post_hoc_k12_through_float_k20,natural,float64_log_on_exact_integer_masses,exact_feasible_certificate,cert_k14.json,08ac51b3f259798b9bf979388ec5f7f590c26025cc323ee331867d20d616285f,True,manifest
14,2,3,11,3,9,0.074430478831913574,0.1125,0.66160425628367625,0.038069521168086429,True,post_hoc_k12_through_float_k20,natural,float64_log_on_exact_integer_masses,exact_feasible_certificate,cert_k14.json,08ac51b3f259798b9bf979388ec5f7f590c26025cc323ee331867d20d616285f,True,manifest
14,3,4,10,9,27,0.047911634294888678,0.084375000000000006,0.56784159164312498,0.036463365705111328,True,post_hoc_k12_through_float_k20,natural,float64_log_on_exact_integer_masses,exact_feasible_certificate,cert_k14.json,08ac51b3f259798b9bf979388ec5f7f590c26025cc323ee331867d20d616285f,True,manifest
14,4,5,9,27,81,0.032164762075079477,0.063281249999999997,0.50828265995187327,0.03111648792492052,True,post_hoc_k12_through_float_k20,natural,float64_log_on_exact_integer_masses,exact_feasible_certificate,cert_k14.json,08ac51b3f259798b9bf979388ec5f7f590c26025cc323ee331867d20d616285f,True,manifest
14,5,6,8,81,243,0.022753212347862962,0.047460937500000001,0.47940924782328548,0.024707725152137039,True,post_hoc_k12_through_float_k20,natural,float64_log_on_exact_integer_masses,exact_feasible_certificate,cert_k14.json,08ac51b3f259798b9bf979388ec5f7f590c26025cc323ee331867d20d616285f,True,manifest
14,6,7,7,243,729,0.016352706342854618,0.035595703125000003,0.45940113292409129,0.019242996782145385,True,post_hoc_k12_through_float_k20,natural,float64_log_on_exact_integer_masses,exact_feasible_certificate,cert_k14.json,08ac51b3f259798b9bf979388ec5f7f590c26025cc323ee331867d20d616285f,True,manifest
14,7,8,6,729,2187,0.011899365508620838,0.026696777343750002,0.44572291836589806,0.014797411835129164,True,post_hoc_k12_through_float_k20,natural,float64_log_on_exact_integer_masses,exact_feasible_certificate,cert_k14.json,08ac51b3f259798b9bf979388ec5f7f590c26025cc323ee331867d20d616285f,True,manifest
14,8,9,5,2187,6561,0.0086857340805734599,0.020022583007812501,0.43379688210978679,0.011336848927239041,True,post_hoc_k12_through_float_k20,natural,float64_log_on_exact_integer_masses,exact_feasible_certificate,cert_k14.json,08ac51b3f259798b9bf979388ec5f7f590c26025cc323ee331867d20d616285f,True,manifest
14,9,10,4,6561,19683,0.0063559696239810443,0.015016937255859376,0.42325339153302005,0.008660967631878333,True,post_hoc_k12_through_float_k20,natural,float64_log_on_exact_integer_masses,exact_feasible_certificate,cert_k14.json,08ac51b3f259798b9bf979388ec5f7f590c26025cc323ee331867d20d616285f,True,manifest
14,10,11,3,19683,59049,0.0046320110916883515,0.011262702941894532,0.41126993365494796,0.0066306918502061808,True,post_hoc_k12_through_float_k20,natural,float64_log_on_exact_integer_masses,exact_feasible_certificate,cert_k14.json,08ac51b3f259798b9bf979388ec5f7f590c26025cc323ee331867d20d616285f,True,manifest
14,11,12,2,59049,177147,0.0031152101340804531,0.0084470272064208988,0.36879366645255579,0.0053318170723404452,True,post_hoc_k12_through_float_k20,natural,float64_log_on_exact_integer_masses,exact_feasible_certificate,cert_k14.json,08ac51b3f259798b9bf979388ec5f7f590c26025cc323ee331867d20d616285f,True,manifest
14,12,13,1,177147,531441,0.0019039906189927246,0.0063352704048156745,0.30053817711481273,0.0044312797858229499,True,post_hoc_k12_through_float_k20,natural,float64_log_on_exact_integer_masses,exact_feasible_certificate,cert_k14.json,08ac51b3f259798b9bf979388ec5f7f590c26025cc323ee331867d20d616285f,True,manifest
14,13,14,0,531441,1594323,0.0012170500278453947,0.0047514528036117559,0.25614271637514102,0.0035344027757663612,True,post_hoc_k12_through_float_k20,natural,float64_log_on_exact_integer_masses,exact_feasible_certificate,cert_k14.json,08ac51b3f259798b9bf979388ec5f7f590c26025cc323ee331867d20d616285f,True,manifest
15,1,2,13,1,3,0.13271229082705349,0.15000000000000002,0.88474860551368983,0.01728770917294653,True,post_hoc_k12_through_float_k20,natural,float64_log_on_exact_integer_masses,exact_feasible_certificate,cert_k15_C.npy,fa65959e13cb445e50c92a447a924658b45aae943873e38d774a0b79aa85cda4,True,array
15,2,3,12,3,9,0.076833969449071213,0.1125,0.68296861732507741,0.03566603055092879,True,post_hoc_k12_through_float_k20,natural,float64_log_on_exact_integer_masses,exact_feasible_certificate,cert_k15_C.npy,fa65959e13cb445e50c92a447a924658b45aae943873e38d774a0b79aa85cda4,True,array
15,3,4,11,9,27,0.049993959002220104,0.084375000000000006,0.59252099558186788,0.034381040997779902,True,post_hoc_k12_through_float_k20,natural,float64_log_on_exact_integer_masses,exact_feasible_certificate,cert_k15_C.npy,fa65959e13cb445e50c92a447a924658b45aae943873e38d774a0b79aa85cda4,True,array
15,4,5,10,27,81,0.03393337366869028,0.063281249999999997,0.53623109007313041,0.029347876331309718,True,post_hoc_k12_through_float_k20,natural,float64_log_on_exact_integer_masses,exact_feasible_certificate,cert_k15_C.npy,fa65959e13cb445e50c92a447a924658b45aae943873e38d774a0b79aa85cda4,True,array
15,5,6,9,81,243,0.024268810512532529,0.047460937500000001,0.51134283878257836,0.023192126987467473,True,post_hoc_k12_through_float_k20,natural,float64_log_on_exact_integer_masses,exact_feasible_certificate,cert_k15_C.npy,fa65959e13cb445e50c92a447a924658b45aae943873e38d774a0b79aa85cda4,True,array
15,6,7,8,243,729,0.017656966111613739,0.035595703125000003,0.49604206579677551,0.017938737013386264,True,post_hoc_k12_through_float_k20,natural,float64_log_on_exact_integer_masses,exact_feasible_certificate,cert_k15_C.npy,fa65959e13cb445e50c92a447a924658b45aae943873e38d774a0b79aa85cda4,True,array
15,7,8,7,729,2187,0.01303354745189163,0.026696777343750002,0.48820677058022965,0.013663229891858373,True,post_hoc_k12_through_float_k20,natural,float64_log_on_exact_integer_masses,exact_feasible_certificate,cert_k15_C.npy,fa65959e13cb445e50c92a447a924658b45aae943873e38d774a0b79aa85cda4,True,array
15,8,9,6,2187,6561,0.0096363365609569585,0.020022583007812501,0.48127339800249597,0.010386246446855542,True,post_hoc_k12_through_float_k20,natural,float64_log_on_exact_integer_masses,exact_feasible_certificate,cert_k15_C.npy,fa65959e13cb445e50c92a447a924658b45aae943873e38d774a0b79aa85cda4,True,array
15,9,10,5,6561,19683,0.0071258648039766725,0.015016937255859376,0.47452184706946621,0.0078910724518827038,True,post_hoc_k12_through_float_k20,natural,float64_log_on_exact_integer_masses,exact_feasible_certificate,cert_k15_C.npy,fa65959e13cb445e50c92a447a924658b45aae943873e38d774a0b79aa85cda4,True,array
15,10,11,4,19683,59049,0.0052561130069669728,0.011262702941894532,0.46668308967073108,0.0060065899349275595,True,post_hoc_k12_through_float_k20,natural,float64_log_on_exact_integer_masses,exact_feasible_certificate,cert_k15_C.npy,fa65959e13cb445e50c92a447a924658b45aae943873e38d774a0b79aa85cda4,True,array
15,11,12,3,59049,177147,0.0038397956886880944,0.0084470272064208988,0.454573614462769,0.0046072315177328044,True,post_hoc_k12_through_float_k20,natural,float64_log_on_exact_integer_masses,exact_feasible_certificate,cert_k15_C.npy,fa65959e13cb445e50c92a447a924658b45aae943873e38d774a0b79aa85cda4,True,array
15,12,13,2,177147,531441,0.0025907092623471306,0.0063352704048156745,0.40893428327508108,0.0037445611424685439,True,post_hoc_k12_through_float_k20,natural,float64_log_on_exact_integer_masses,exact_feasible_certificate,cert_k15_C.npy,fa65959e13cb445e50c92a447a924658b45aae943873e38d774a0b79aa85cda4,True,array
15,13,14,1,531441,1594323,0.0016106325300523445,0.0047514528036117559,0.33897685542157607,0.0031408202735594111,True,post_hoc_k12_through_float_k20,natural,float64_log_on_exact_integer_masses,exact_feasible_certificate,cert_k15_C.npy,fa65959e13cb445e50c92a447a924658b45aae943873e38d774a0b79aa85cda4,True,array
15,14,15,0,1594323,4782969,0.0010453134854545481,0.0035635896027088167,0.29333161278166442,0.0025182761172542686,True,post_hoc_k12_through_float_k20,natural,float64_log_on_exact_integer_masses,exact_feasible_certificate,cert_k15_C.npy,fa65959e13cb445e50c92a447a924658b45aae943873e38d774a0b79aa85cda4,True,array
16,1,2,14,1,3,0.13503539685633864,0.15000000000000002,0.90023597904225749,0.014964603143661381,True,post_hoc_k12_through_float_k20,natural,float64_log_on_exact_integer_masses,exact_feasible_certificate,cert_k16_C.npy,180c4856ee6cffdf08a2feedea15a17bab9f0d8bf2702808b4ae2512a41d300b,True,array
16,2,3,13,3,9,0.079051096163019169,0.1125,0.70267641033794814,0.033448903836980834,True,post_hoc_k12_through_float_k20,natural,float64_log_on_exact_integer_masses,exact_feasible_certificate,cert_k16_C.npy,180c4856ee6cffdf08a2feedea15a17bab9f0d8bf2702808b4ae2512a41d300b,True,array
16,3,4,12,9,27,0.051925378648102039,0.084375000000000006,0.61541189508861671,0.032449621351897967,True,post_hoc_k12_through_float_k20,natural,float64_log_on_exact_integer_masses,exact_feasible_certificate,cert_k16_C.npy,180c4856ee6cffdf08a2feedea15a17bab9f0d8bf2702808b4ae2512a41d300b,True,array
16,4,5,11,27,81,0.035591184826998544,0.063281249999999997,0.56242859973528569,0.027690065173001453,True,post_hoc_k12_through_float_k20,natural,float64_log_on_exact_integer_masses,exact_feasible_certificate,cert_k16_C.npy,180c4856ee6cffdf08a2feedea15a17bab9f0d8bf2702808b4ae2512a41d300b,True,array
16,5,6,10,81,243,0.025695323042226121,0.047460937500000001,0.54139939907900303,0.02176561445777388,True,post_hoc_k12_through_float_k20,natural,float64_log_on_exact_integer_masses,exact_feasible_certificate,cert_k16_C.npy,180c4856ee6cffdf08a2feedea15a17bab9f0d8bf2702808b4ae2512a41d300b,True,array
16,6,7,9,243,729,0.018898040173755369,0.035595703125000003,0.53090790501853213,0.016697662951244634,True,post_hoc_k12_through_float_k20,natural,float64_log_on_exact_integer_masses,exact_feasible_certificate,cert_k16_C.npy,180c4856ee6cffdf08a2feedea15a17bab9f0d8bf2702808b4ae2512a41d300b,True,array
16,7,8,8,729,2187,0.014119925949849685,0.026696777343750002,0.52890001546030463,0.012576851393900317,True,post_hoc_k12_through_float_k20,natural,float64_log_on_exact_integer_masses,exact_feasible_certificate,cert_k16_C.npy,180c4856ee6cffdf08a2feedea15a17bab9f0d8bf2702808b4ae2512a41d300b,True,array
16,8,9,7,2187,6561,0.010578180091210712,0.020022583007812501,0.52831246033957113,0.0094444029166017886,True,post_hoc_k12_through_float_k20,natural,float64_log_on_exact_integer_masses,exact_feasible_certificate,cert_k16_C.npy,180c4856ee6cffdf08a2feedea15a17bab9f0d8bf2702808b4ae2512a41d300b,True,array
16,9,10,6,6561,19683,0.0079392573031188407,0.015016937255859376,0.52868685324106723,0.0070776799527405357,True,post_hoc_k12_through_float_k20,natural,float64_log_on_exact_integer_masses,exact_feasible_certificate,cert_k16_C.npy,180c4856ee6cffdf08a2feedea15a17bab9f0d8bf2702808b4ae2512a41d300b,True,array
16,10,11,5,19683,59049,0.0059244200166037389,0.011262702941894532,0.52602115559368334,0.0053382829252907934,True,post_hoc_k12_through_float_k20,natural,float64_log_on_exact_integer_masses,exact_feasible_certificate,cert_k16_C.npy,180c4856ee6cffdf08a2feedea15a17bab9f0d8bf2702808b4ae2512a41d300b,True,array
16,11,12,4,59049,177147,0.0043990680626463255,0.0084470272064208988,0.52078298733339357,0.0040479591437745733,True,post_hoc_k12_through_float_k20,natural,float64_log_on_exact_integer_masses,exact_feasible_certificate,cert_k16_C.npy,180c4856ee6cffdf08a2feedea15a17bab9f0d8bf2702808b4ae2512a41d300b,True,array
16,12,13,3,177147,531441,0.0032292740090691255,0.0063352704048156745,0.50972946736644964,0.003105996395746549,True,post_hoc_k12_through_float_k20,natural,float64_log_on_exact_integer_masses,exact_feasible_certificate,cert_k16_C.npy,180c4856ee6cffdf08a2feedea15a17bab9f0d8bf2702808b4ae2512a41d300b,True,array
16,13,14,2,531441,1594323,0.00219222226421497,0.0047514528036117559,0.46137936223392145,0.0025592305393967859,True,post_hoc_k12_through_float_k20,natural,float64_log_on_exact_integer_masses,exact_feasible_certificate,cert_k16_C.npy,180c4856ee6cffdf08a2feedea15a17bab9f0d8bf2702808b4ae2512a41d300b,True,array
