threshold,k,parent_depth,child_depth,terminal_offset,first_parent_depth,weights,rho_num,rho_den,rho_decimal,parent_tail_num,parent_tail_den,parent_tail_decimal,child_tail_num,child_tail_den,child_tail_decimal,parent_potential_num,parent_potential_den,parent_potential_decimal,persistent_potential_num,persistent_potential_den,persistent_potential_decimal,immigration_potential_num,immigration_potential_den,immigration_potential_decimal,child_potential_num,child_potential_den,child_potential_decimal,realized_retention_num,realized_retention_den,realized_retention_decimal,total_mass,selection_scope,source,source_sha256,source_sha256_verified
1/5,14,6,7,6,3,31/25;69/50;1;34/25,68,69,0.985507246377,11304413644368704149,14596152850956151164,0.774478984963,10037741394761564843,14596152850956151164,0.687697744554,146919167180950207243,145961528509561511640,1.0065608978,87784560033373321747,121634607091301259700,0.721707104027,109091631524719665263,729807642547807558200,0.149479979607,127159798344991919149,145961528509561511640,0.871187083634,526707360200239930482,734595835904751036215,0.717002921139,14596152850956151164,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,14,7,8,5,3,31/25;69/50;1;34/25,68,69,0.985507246377,10037741394761564843,14596152850956151164,0.687697744554,2950553756867671993,4865384283652050388,0.606437967661,127159798344991919149,145961528509561511640,0.871187083634,105985030295345807921,182451910636951889550,0.580892959275,121472261679966799133,729807642547807558200,0.166444217076,545412382861350030817,729807642547807558200,0.747337176351,423940121181383231684,635798991724959595745,0.666783254927,14596152850956151164,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,14,8,9,4,3,31/25;69/50;1;34/25,68,69,0.985507246377,2950553756867671993,4865384283652050388,0.606437967661,3746228200123170821,7298076425478075582,0.51331720603,545412382861350030817,729807642547807558200,0.747337176351,340576804388320001357,729807642547807558200,0.466666535855,119193320787565839967,729807642547807558200,0.163321557406,38314177097990486777,60817303545650629850,0.629988093261,340576804388320001357,545412382861350030817,0.624439075992,14596152850956151164,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,14,9,10,3,3,31/25;69/50;1;34/25,68,69,0.985507246377,3746228200123170821,7298076425478075582,0.51331720603,1986337385139429653,4865384283652050388,0.408259095137,38314177097990486777,60817303545650629850,0.629988093261,131407119246177932969,364903821273903779100,0.360114396137,6719385830587613489,48653842836520503880,0.138105963247,363605025951170068273,729807642547807558200,0.498220359384,18772445606596847567,32840723226848988666,0.571620955998,14596152850956151164,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,14,10,11,2,3,31/25;69/50;1;34/25,68,69,0.985507246377,1986337385139429653,4865384283652050388,0.408259095137,4152623263939167643,14596152850956151164,0.284501217981,363605025951170068273,729807642547807558200,0.498220359384,62149850683705027909,243269214182602519400,0.255477664498,2812482263957731936,30408651772825314925,0.0924895416268,84649708795366883397,243269214182602519400,0.347967206125,186449552051115083727,363605025951170068273,0.51278045886,14596152850956151164,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,14,11,12,1,3,31/25;69/50;1;34/25,68,69,0.985507246377,4152623263939167643,14596152850956151164,0.284501217981,2352343838046279019,14596152850956151164,0.161161907666,84649708795366883397,243269214182602519400,0.347967206125,108649698346225514177,729807642547807558200,0.148874432127,234954101014359141,4865384283652050388,0.0482909647659,143892813498379385327,729807642547807558200,0.197165396893,108649698346225514177,253949126386100650191,0.427840409977,14596152850956151164,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,14,12,13,0,3,31/25;69/50;1;34/25,68,69,0.985507246377,2352343838046279019,14596152850956151164,0.161161907666,276710319745545193,3649038212739037791,0.0758310282363,143892813498379385327,729807642547807558200,0.197165396893,2097015624144238546,30408651772825314925,0.0689611509188,6078824476475223181,243269214182602519400,0.0249880548877,22854949469629131549,243269214182602519400,0.0939492058065,50328374979461725104,143892813498379385327,0.349762950323,14596152850956151164,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,15,3,4,10,3,31/25;69/50;1;34/25,68,69,0.985507246377,1,1,1,1,1,1,1584151119854235296563,1176227511309552686500,1.34680672287,1555614517692862173467,1176227511309552686500,1.32254559831,0,1,0,1555614517692862173467,1176227511309552686500,1.32254559831,1555614517692862173467,1584151119854235296563,0.981986186921,47049100452382107460,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,15,4,5,9,3,31/25;69/50;1;34/25,68,69,0.985507246377,1,1,1,42612177152564681027,47049100452382107460,0.9056958952,1555614517692862173467,1176227511309552686500,1.32254559831,701096469396238652899,588113755654776343250,1.19211030631,0,1,0,701096469396238652899,588113755654776343250,1.19211030631,1402192938792477305798,1555614517692862173467,0.901375580418,47049100452382107460,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,15,5,6,8,3,31/25;69/50;1;34/25,68,69,0.985507246377,42612177152564681027,47049100452382107460,0.9056958952,9277082166106947249,11762275113095526865,0.788714944763,701096469396238652899,588113755654776343250,1.19211030631,2245346448294502996831,2352455022619105373000,0.9544694486,47248040545985823169,588113755654776343250,0.0803382680505,2434338610478446289507,2352455022619105373000,1.03480771665,2245346448294502996831,2804385877584954611596,0.800655311468,47049100452382107460,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,15,6,7,7,3,31/25;69/50;1;34/25,68,69,0.985507246377,9277082166106947249,11762275113095526865,0.788714944763,33414292727659601167,47049100452382107460,0.710200458805,2434338610478446289507,2352455022619105373000,1.03480771665,444661225272875417807,588113755654776343250,0.756080300788,14234051831637307741,94098200904764214920,0.151268055019,2134496196882434364753,2352455022619105373000,0.907348355807,1778644901091501671228,2434338610478446289507,0.730648108458,47049100452382107460,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,15,7,8,6,3,31/25;69/50;1;34/25,68,69,0.985507246377,33414292727659601167,47049100452382107460,0.710200458805,14769373465405120149,23524550226191053730,0.627828091224,2134496196882434364753,2352455022619105373000,0.907348355807,1445405629170000171881,2352455022619105373000,0.61442434192,78435504183797818517,470491004523821074600,0.166709891219,918791575044494632233,1176227511309552686500,0.78113423314,1445405629170000171881,2134496196882434364753,0.677164771378,47049100452382107460,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,15,8,9,5,3,31/25;69/50;1;34/25,68,69,0.985507246377,14769373465405120149,23524550226191053730,0.627828091224,12739887829060171379,23524550226191053730,0.54155712677,918791575044494632233,1176227511309552686500,0.78113423314,1169296683149257130141,2352455022619105373000,0.497053789299,396748580702098533483,2352455022619105373000,0.168652993102,195755657981419457953,294056877827388171625,0.665706782401,1169296683149257130141,1837583150088989264466,0.636323141673,47049100452382107460,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,15,9,10,4,3,31/25;69/50;1;34/25,68,69,0.985507246377,12739887829060171379,23524550226191053730,0.54155712677,20864874473710749197,47049100452382107460,0.443470210335,195755657981419457953,294056877827388171625,0.665706782401,46487912427389285297,117622751130955268650,0.395228916008,87171140023562798357,588113755654776343250,0.148221562896,159805351080254612421,294056877827388171625,0.543450478904,232439562136946426485,391511315962838915906,0.593698196348,47049100452382107460,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,15,10,11,3,3,31/25;69/50;1;34/25,68,69,0.985507246377,20864874473710749197,47049100452382107460,0.443470210335,3987597750069513406,11762275113095526865,0.339015854648,159805351080254612421,294056877827388171625,0.543450478904,698365055677126554851,2352455022619105373000,0.296866485847,34614712052832494058,294056877827388171625,0.117714342574,195056550419957301463,470491004523821074600,0.414580828421,698365055677126554851,1278442808642036899368,0.546262258238,47049100452382107460,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,15,11,12,2,3,31/25;69/50;1;34/25,68,69,0.985507246377,3987597750069513406,11762275113095526865,0.339015854648,2659274852601076567,11762275113095526865,0.226085075126,195056550419957301463,470491004523821074600,0.414580828421,476284268402176637927,2352455022619105373000,0.202462645969,174287606826262266843,2352455022619105373000,0.074087540527,65057187522843890477,235245502261910537300,0.276550186496,476284268402176637927,975282752099786507315,0.488355061521,47049100452382107460,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
