K,L,Lambda_bits,R=2^(K-L)-1_bits,Lambda_divides_W,size_bound(*)_holds,slack_bits
153,96,152,57,0,1,95
154,97,152,57,0,1,95
155,97,155,58,0,1,97
156,98,155,58,0,1,97
157,99,153,58,0,1,95
158,99,158,59,0,1,99
159,100,158,59,0,1,99
160,100,160,60,0,1,100
161,101,160,60,0,1,100
162,102,160,60,0,1,100
163,102,163,61,0,1,102
164,103,163,61,0,1,102
165,104,162,61,0,1,101
166,104,166,62,0,1,104
167,105,166,62,0,1,104
168,105,168,63,0,1,105
169,106,168,63,0,1,105
170,107,168,63,0,1,105
171,107,171,64,0,1,107
172,108,171,64,0,1,107
173,109,171,64,0,1,107
174,109,174,65,0,1,109
175,110,174,65,0,1,109
176,111,172,65,0,1,107
177,111,177,66,0,1,111
178,112,177,66,0,1,111
179,112,179,67,0,1,112
180,113,179,67,0,1,112
181,114,179,67,0,1,112
182,114,182,68,0,1,114
183,115,182,68,0,1,114
184,116,181,68,0,1,113
185,116,185,69,0,1,116
186,117,185,69,0,1,116
187,117,187,70,0,1,117
188,118,187,70,0,1,117
189,119,187,70,0,1,117
190,119,190,71,0,1,119
191,120,190,71,0,1,119
192,121,190,71,0,1,119
193,121,193,72,0,1,121
194,122,193,72,0,1,121
195,123,191,72,0,1,119
196,123,196,73,0,1,123
197,124,196,73,0,1,123
198,124,198,74,0,1,124
199,125,198,74,0,1,124
200,126,198,74,0,1,124
400,252,399,148,0,1,251
600,378,599,222,0,1,377
800,504,800,296,0,1,504
1000,630,1000,370,0,1,630
1200,757,1197,443,0,1,754
1400,883,1399,517,0,1,882
1600,1009,1599,591,0,1,1008
1800,1135,1800,665,0,1,1135
2000,1261,2000,739,0,1,1261
2200,1388,2196,812,0,1,1384
2400,1514,2398,886,0,1,1512
2600,1640,2599,960,0,1,1639
2800,1766,2799,1034,0,1,1765
3000,1892,3000,1108,0,1,1892
3200,2018,3200,1182,0,1,2018
3400,2145,3398,1255,0,1,2143
3600,2271,3599,1329,0,1,2270
3800,2397,3799,1403,0,1,2396
4000,2523,4000,1477,0,1,2523
